timestamp,open,high,low,close,volume,age,quality,price_change,spike_detected,anomaly_type,log_timestamp
2026-07-28 04:45:00,1.137095,1.13715,1.137025,1.137045,188,68175000,STALE,-4.397169981384952e-05,True,spike,2026-07-29 06:46:31
2026-07-28 04:50:00,1.13705,1.137095,1.13683,1.136835,211,67875000,STALE,-0.00018468926031955935,True,spike,2026-07-29 06:46:31
2026-07-28 05:00:00,1.136865,1.13689,1.13672,1.1368,554,67275000,STALE,-5.27769470295425e-05,True,spike,2026-07-29 06:46:31
2026-07-28 05:05:00,1.136805,1.13681,1.136355,1.136415,672,66975000,STALE,-0.0003386699507389457,True,spike,2026-07-29 06:46:31
2026-07-28 05:10:00,1.13641,1.13641,1.136175,1.13623,441,66675000,STALE,-0.0001627926417724357,True,spike,2026-07-29 06:46:31
2026-07-28 05:15:00,1.136225,1.13634,1.136175,1.13627,367,66375000,STALE,3.5204140006683815e-05,True,spike,2026-07-29 06:46:31
2026-07-28 05:25:00,1.13624,1.13653,1.13623,1.13652,306,65775000,STALE,0.00025082839377410515,True,spike,2026-07-29 06:46:31
2026-07-28 05:35:00,1.136485,1.13655,1.136315,1.136415,619,65175000,STALE,-7.039186270074715e-05,True,spike,2026-07-29 06:46:31
2026-07-28 05:40:00,1.13641,1.136635,1.13632,1.136545,484,64875000,STALE,0.00011439482935360346,True,spike,2026-07-29 06:46:31
2026-07-28 05:45:00,1.13654,1.1366,1.13641,1.13641,277,64575000,STALE,-0.00011878104254559041,True,spike,2026-07-29 06:46:31
2026-07-28 05:50:00,1.136415,1.13654,1.13641,1.1365,223,64275000,STALE,7.919676877188309e-05,True,spike,2026-07-29 06:46:31
2026-07-28 05:55:00,1.136495,1.13665,1.13648,1.13659,304,63975000,STALE,7.919049714022464e-05,True,spike,2026-07-29 06:46:31
2026-07-28 06:00:00,1.136595,1.136805,1.136535,1.136685,646,63675000,STALE,8.358335019664764e-05,True,spike,2026-07-29 06:46:31
2026-07-28 06:05:00,1.13668,1.136705,1.136495,1.13659,559,63375000,STALE,-8.357636460409879e-05,True,spike,2026-07-29 06:46:31
2026-07-28 06:10:00,1.136595,1.136795,1.136555,1.136685,542,63075000,STALE,8.358335019664764e-05,True,spike,2026-07-29 06:46:31
2026-07-28 06:15:00,1.136685,1.13683,1.13668,1.136735,609,62775000,STALE,4.398756031798179e-05,True,spike,2026-07-29 06:46:31
2026-07-28 06:20:00,1.136735,1.1369,1.136675,1.1369,501,62475000,STALE,0.00014515256414204813,True,spike,2026-07-29 06:46:31
2026-07-28 06:25:00,1.13691,1.137115,1.13685,1.13708,632,62175000,STALE,0.00015832527047243694,True,spike,2026-07-29 06:46:31
2026-07-28 06:40:00,1.137045,1.137165,1.13689,1.13697,508,61275000,STALE,-6.15633574896357e-05,True,spike,2026-07-29 06:46:31
2026-07-28 06:45:00,1.13697,1.136975,1.136805,1.13683,222,60975000,STALE,-0.00012313429553989508,True,spike,2026-07-29 06:46:31
2026-07-28 06:50:00,1.136835,1.13715,1.136825,1.13714,390,60675000,STALE,0.000272688088808426,True,spike,2026-07-29 06:46:31
2026-07-28 06:55:00,1.13714,1.137155,1.13673,1.13687,656,60375000,STALE,-0.00023743778250695513,True,spike,2026-07-29 06:46:31
2026-07-28 07:00:00,1.13686,1.13694,1.1367,1.136785,807,60075000,STALE,-7.476668396577679e-05,True,spike,2026-07-29 06:46:31
2026-07-28 07:05:00,1.136785,1.137255,1.1367,1.13719,673,59775000,STALE,0.00035626789586418184,True,spike,2026-07-29 06:46:31
2026-07-28 07:10:00,1.137195,1.137355,1.13709,1.13731,977,59475000,STALE,0.00010552326348300944,True,spike,2026-07-29 06:46:31
2026-07-28 07:15:00,1.13731,1.13736,1.13717,1.137185,377,59175000,STALE,-0.00010990846822778177,True,spike,2026-07-29 06:46:31
2026-07-28 07:20:00,1.13718,1.137285,1.136995,1.136995,730,58875000,STALE,-0.00016707923512881973,True,spike,2026-07-29 06:46:31
2026-07-28 07:30:00,1.136995,1.137095,1.136965,1.13705,391,58275000,STALE,4.837312389227577e-05,True,spike,2026-07-29 06:46:31
2026-07-28 07:40:00,1.13708,1.13713,1.13685,1.13691,421,57675000,STALE,-0.0001495057515742415,True,spike,2026-07-29 06:46:31
2026-07-28 07:45:00,1.13691,1.136925,1.136625,1.13666,474,57375000,STALE,-0.0002198942748327104,True,spike,2026-07-29 06:46:31
2026-07-28 07:50:00,1.136655,1.136655,1.136325,1.13651,754,57075000,STALE,-0.0001319655833759148,True,spike,2026-07-29 06:46:31
2026-07-28 08:00:00,1.136495,1.136835,1.136475,1.13679,773,56475000,STALE,0.0002639706464639957,True,spike,2026-07-29 06:46:31
2026-07-28 08:05:00,1.136795,1.137045,1.13675,1.13694,502,56175000,STALE,0.00013195049217551436,True,spike,2026-07-29 06:46:31
2026-07-28 08:10:00,1.136945,1.136965,1.13666,1.13681,628,55875000,STALE,-0.00011434200573468001,True,spike,2026-07-29 06:46:31
