open,high,low,close,volume,age,quality
1.335455,1.336185,1.332655,1.332785,0,7637000,STALE
1.332795,1.334715,1.332665,1.334175,0,6737000,STALE
1.334255,1.335125,1.333715,1.334005,0,5837000,STALE
1.333995,1.335275,1.332375,1.335155,0,4937000,STALE
1.335165,1.335565,1.334185,1.335495,0,4037000,STALE
1.335505,1.335855,1.333415,1.334405,0,3137000,STALE
1.334395,1.335595,1.334395,1.334835,0,2237000,STALE
1.334785,1.335805,1.333055,1.333795,0,1337000,FRESH
1.333805,1.333845,1.331895,1.332805,0,437000,FRESH
1.332805,1.332815,1.331765,1.332235,0,0,FRESH
1.329105,1.330195,1.328405,1.329985,0,43404000,STALE
1.329995,1.330905,1.329425,1.329905,0,42504000,STALE
1.329885,1.331455,1.329465,1.330305,0,41604000,STALE
1.330335,1.330775,1.329735,1.330215,0,40704000,STALE
1.330235,1.330835,1.329285,1.329445,0,39804000,STALE
1.329475,1.330455,1.327835,1.328295,0,38904000,STALE
1.328275,1.330955,1.328185,1.330745,0,38004000,STALE
1.330705,1.330925,1.329145,1.329705,0,37104000,STALE
1.329735,1.331575,1.329265,1.329345,0,36204000,STALE
1.329395,1.331355,1.329265,1.330815,0,35304000,STALE
1.330805,1.331775,1.330125,1.331115,0,34404000,STALE
1.331125,1.331405,1.327955,1.329135,0,33504000,STALE
1.329125,1.330475,1.328225,1.330415,0,32604000,STALE
1.330395,1.331135,1.329215,1.330885,0,31704000,STALE
1.330895,1.331145,1.328465,1.328845,0,30804000,STALE
1.328845,1.329525,1.328335,1.328545,0,29904000,STALE
1.328565,1.328915,1.326735,1.327295,0,29004000,STALE
1.327335,1.328055,1.325635,1.326385,0,28104000,STALE
1.326395,1.326485,1.323695,1.324725,0,27204000,STALE
1.324715,1.325135,1.322325,1.322415,0,26304000,STALE
1.322405,1.322445,1.321005,1.321835,0,25404000,STALE
1.321825,1.323075,1.321395,1.321855,0,24504000,STALE
1.321875,1.322445,1.320795,1.321235,0,23604000,STALE
1.321225,1.321915,1.320545,1.320845,0,22704000,STALE
1.320855,1.321585,1.320075,1.321475,0,21804000,STALE
1.321465,1.322205,1.319265,1.319605,0,20904000,STALE
1.319625,1.322275,1.319625,1.321255,0,20004000,STALE
1.321245,1.322105,1.320535,1.321015,0,19104000,STALE
1.321005,1.322815,1.320515,1.322605,0,18204000,STALE
1.322625,1.324455,1.322155,1.324105,0,17304000,STALE
1.324115,1.324455,1.322235,1.323795,0,16404000,STALE
1.323805,1.325235,1.323285,1.325115,0,15504000,STALE
1.325105,1.326525,1.324735,1.325795,0,14604000,STALE
1.325775,1.325785,1.323605,1.324985,0,13704000,STALE
1.324975,1.325665,1.323885,1.324895,0,12804000,STALE
1.324865,1.326765,1.324745,1.325855,0,11904000,STALE
1.325875,1.327735,1.325145,1.326225,0,11004000,STALE
1.326105,1.326225,1.323105,1.323105,0,10104000,STALE
1.323155,1.323925,1.322615,1.323575,0,9204000,STALE
1.323585,1.325055,1.322635,1.324645,0,8304000,STALE
1.324655,1.325675,1.324435,1.324665,0,7404000,STALE
1.324685,1.325885,1.324285,1.324315,0,6504000,STALE
1.324325,1.324485,1.322945,1.323915,0,5604000,STALE
1.323915,1.324495,1.322295,1.322695,0,4704000,STALE
1.322725,1.324055,1.322705,1.323555,0,3804000,STALE
1.323575,1.326835,1.322935,1.326175,0,2904000,STALE
1.326195,1.328015,1.325975,1.327605,0,2004000,STALE
1.327625,1.327835,1.326535,1.326545,0,1104000,FRESH
1.326525,1.328395,1.326445,1.328395,0,204000,FRESH
1.328395,1.328625,1.327445,1.327595,0,0,FRESH
