high,low,close,volume,age,quality,open
0.85673,0.856515,0.856715,486,28801737,STALE,0.856545
0.856845,0.856695,0.856835,572,28501737,STALE,0.856715
0.856855,0.856615,0.856615,499,28201737,STALE,0.856825
0.85677,0.85661,0.85675,637,27901737,STALE,0.856615
0.85691,0.856735,0.85689,464,27601737,STALE,0.856755
0.8569,0.856665,0.85673,547,27301737,STALE,0.856885
0.85689,0.856695,0.856845,938,27001737,STALE,0.856735
0.857045,0.856825,0.857025,890,26701737,STALE,0.85685
0.857015,0.856925,0.856985,562,26401737,STALE,0.857015
0.857015,0.856695,0.85676,828,26101737,STALE,0.85698
0.856895,0.856745,0.856795,758,25801737,STALE,0.856765
0.857055,0.85678,0.857015,662,25501737,STALE,0.856795
0.857045,0.856945,0.856945,657,25201737,STALE,0.85701
0.85695,0.8568,0.8569,648,24901737,STALE,0.856945
0.8569,0.856645,0.856645,559,24601737,STALE,0.856895
0.85669,0.856595,0.856655,568,24301737,STALE,0.85665
0.856715,0.85657,0.856615,569,24001737,STALE,0.856645
0.85666,0.856585,0.856615,489,23701737,STALE,0.85661
0.856705,0.856595,0.856685,695,23401737,STALE,0.85663
0.856755,0.856605,0.856625,752,23101737,STALE,0.85668
0.85663,0.856485,0.85649,563,22801737,STALE,0.856625
0.856645,0.85647,0.856615,511,22501737,STALE,0.856495
0.85664,0.856485,0.856525,436,22201737,STALE,0.85662
0.85657,0.85636,0.856365,553,21901737,STALE,0.856525
0.856435,0.856305,0.85643,502,21601737,STALE,0.85636
0.856435,0.85628,0.85634,509,21301737,STALE,0.85643
0.85642,0.856195,0.856205,674,21001737,STALE,0.856345
0.85634,0.856195,0.856305,800,20701737,STALE,0.856205
0.856355,0.856225,0.856295,722,20401737,STALE,0.8563
0.85635,0.856205,0.856265,1004,20101737,STALE,0.85629
0.856385,0.856205,0.856365,1202,19801737,STALE,0.85626
0.85643,0.856285,0.856375,523,19501737,STALE,0.856375
0.856535,0.85636,0.856495,539,19201737,STALE,0.856365
0.85666,0.856415,0.85645,1259,18901737,STALE,0.85649
0.856645,0.8564,0.856645,831,18601737,STALE,0.856455
0.85665,0.856445,0.856465,788,18301737,STALE,0.856635
0.856515,0.856375,0.856425,880,18001737,STALE,0.85646
0.856485,0.856285,0.856415,972,17701737,STALE,0.856415
0.856555,0.856385,0.856455,483,17401737,STALE,0.856425
0.856605,0.856425,0.856545,526,17101737,STALE,0.85646
0.85678,0.856545,0.856645,540,16801737,STALE,0.856555
0.856655,0.856495,0.85654,720,16501737,STALE,0.85664
0.856585,0.85651,0.856525,957,16201737,STALE,0.856535
0.856695,0.856475,0.85667,583,15901737,STALE,0.85652
0.856815,0.856675,0.85672,592,15601737,STALE,0.85668
0.856905,0.85672,0.8569,555,15301737,STALE,0.85672
0.856945,0.85685,0.856865,477,15001737,STALE,0.8569
0.856905,0.856785,0.856845,706,14701737,STALE,0.856875
0.856995,0.856655,0.85697,1041,14401737,STALE,0.856835
0.85708,0.856965,0.857035,952,14101737,STALE,0.856965
0.85711,0.85692,0.856925,852,13801737,STALE,0.85704
0.857145,0.856905,0.857015,1060,13501737,STALE,0.85692
0.857105,0.85695,0.856985,746,13201737,STALE,0.857005
0.857085,0.856835,0.85691,654,12901737,STALE,0.85699
0.85697,0.856795,0.85681,593,12601737,STALE,0.856905
0.856895,0.856785,0.856845,1054,12301737,STALE,0.85681
0.856855,0.856725,0.8568,900,12001737,STALE,0.85685
0.857065,0.856775,0.857055,753,11701737,STALE,0.8568
0.857095,0.856745,0.856755,759,11401737,STALE,0.85705
0.856875,0.856745,0.85684,551,11101737,STALE,0.856755
0.85692,0.85683,0.856835,454,10801737,STALE,0.856855
0.856845,0.856645,0.856715,730,10501737,STALE,0.856835
0.856735,0.856575,0.856665,874,10201737,STALE,0.85671
0.85681,0.856565,0.856655,1198,9901737,STALE,0.856665
0.857115,0.85664,0.856895,1568,9601737,STALE,0.856655
0.856925,0.85641,0.856545,2180,9301737,STALE,0.8569
0.856835,0.856455,0.856815,2277,9001737,STALE,0.85655
0.856855,0.856475,0.856505,944,8701737,STALE,0.85682
0.85677,0.85647,0.856665,1150,8401737,STALE,0.8565
0.856675,0.856485,0.856665,947,8101737,STALE,0.85667
0.856685,0.856535,0.856555,1003,7801737,STALE,0.85666
0.85672,0.856515,0.8566,879,7501737,STALE,0.85655
0.856605,0.856385,0.856435,1066,7201737,STALE,0.856605
0.85651,0.85636,0.85649,852,6901737,STALE,0.85644
0.856555,0.856425,0.856525,734,6601737,STALE,0.856485
0.856595,0.856515,0.85655,814,6301737,STALE,0.85652
0.856615,0.856535,0.856605,643,6001737,STALE,0.856545
0.85678,0.856575,0.856715,909,5701737,STALE,0.856605
0.856755,0.856645,0.856655,639,5401737,STALE,0.85671
0.856685,0.856535,0.85654,569,5101737,STALE,0.856655
0.85673,0.856535,0.856705,842,4801737,STALE,0.856535
0.856715,0.856615,0.856625,774,4501737,STALE,0.856715
0.856755,0.856625,0.856645,718,4201737,STALE,0.856625
0.856785,0.856615,0.85678,603,3901737,STALE,0.85665
0.856845,0.85674,0.85681,657,3601737,STALE,0.856785
0.856955,0.85681,0.85694,570,3301737,STALE,0.856815
0.856955,0.856855,0.856945,583,3001737,STALE,0.856945
0.856975,0.856875,0.856875,785,2701737,STALE,0.85694
0.85694,0.85676,0.8568,535,2401737,STALE,0.85688
0.856825,0.856735,0.856745,547,2101737,STALE,0.8568
0.856805,0.85669,0.8567,1002,1801737,STALE,0.856735
0.85677,0.856685,0.856685,768,1501737,STALE,0.856695
0.856755,0.856645,0.85669,541,1201737,STALE,0.856695
0.856705,0.85665,0.85666,758,901737,STALE,0.856685
0.8567,0.856615,0.856635,456,601737,STALE,0.856665
0.85668,0.856605,0.856605,865,301737,FRESH,0.85664
0.856625,0.856445,0.856505,919,1737,FRESH,0.85661
